Date,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】芦屋美整体 (競合ASIN),Japan,ENABLED,JPY,"¥3,500.00",Manual targeting,Dynamic bids - down only,2215,,7,,0.32%,¥302.95,,¥43.28,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】シリシアネイルファイル(指名KW・商品TG),Japan,ENABLED,JPY,"¥1,000.00",Manual targeting,Dynamic bids - down only,39,,0,,0.00%,¥0.00,,¥0.00,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】レクステラ（指名KW）,Japan,ENABLED,JPY,"¥2,500.00",Manual targeting,Dynamic bids - down only,329,320,1,3,0.30%,¥1.30,¥390.32,¥1.30,¥130.11,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】HINアクネスラボ（指名KW）,Japan,ENABLED,JPY,"¥1,000.00",Manual targeting,Dynamic bids - down only,130,6,0,0,0.00%,¥0.00,¥0.00,¥0.00,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】ミューフル（指名KW）ver2,Japan,ENABLED,JPY,"¥5,000.00",Manual targeting,Dynamic bids - down only,1314,341,27,1,2.06%,"¥3,626.60",¥150.00,¥134.32,¥150.00,1,38.00%,2.63,"¥9,545.00"
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】レクステラ（AT）,Japan,ENABLED,JPY,"¥3,000.00",Automatic targeting,Dynamic bids - down only,3859,1453,2,4,0.05%,¥187.96,¥301.07,¥93.98,¥75.27,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】アンナトゥモール（指名KW）ver2,Japan,ENABLED,JPY,"¥1,000.00",Manual targeting,Dynamic bids - down only,191,,1,,0.52%,¥58.50,,¥58.50,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】水素バス（AT）,Japan,ENABLED,JPY,"¥4,000.00",Automatic targeting,Dynamic bids - down only,1590,21164,1,24,0.06%,¥24.77,"¥1,880.02",¥24.77,¥78.33,1,1.60%,62.41,"¥1,546.00"
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】HINアクネスラボ（AT）,Japan,ENABLED,JPY,"¥1,000.00",Automatic targeting,Dynamic bids - down only,5299,525,2,1,0.04%,¥91.64,¥70.00,¥45.82,¥70.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】ソーダスパークル(競合ASIN),Japan,ENABLED,JPY,"¥6,000.00",Manual targeting,Dynamic bids - down only,2083,,14,,0.67%,¥867.95,,¥62.00,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】ビーバンジョア (競合ASIN),Japan,ENABLED,JPY,"¥3,300.00",Manual targeting,Dynamic bids - down only,2408,,0,,0.00%,¥0.00,,¥0.00,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】ソーダスパークル（指名KW）,Japan,ENABLED,JPY,"¥6,000.00",Manual targeting,Dynamic bids - down only,126,,0,,0.00%,¥0.00,,¥0.00,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】レクステラ(競合ASIN),Japan,ENABLED,JPY,"¥1,500.00",Manual targeting,Dynamic bids - down only,351,,0,,0.00%,¥0.00,,¥0.00,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】他ASIN（AT）,Japan,ENABLED,JPY,"¥5,000.00",Automatic targeting,Dynamic bids - down only,10074,11773,84,24,0.83%,¥840.33,¥610.71,¥10.00,¥25.45,2,32.32%,3.09,"¥2,600.00"
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】マヘンディ（指名KW）,Japan,ENABLED,JPY,"¥2,000.00",Manual targeting,Dynamic bids - down only,1213,43,7,0,0.58%,¥548.80,¥0.00,¥78.40,¥0.00,1,15.20%,6.58,"¥3,610.00"
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】ミューフル（AT）,Japan,ENABLED,JPY,"¥3,500.00",Automatic targeting,Dynamic bids - down only,10913,2337,4,1,0.04%,¥288.00,¥88.92,¥72.00,¥88.92,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】グリーンノートヘナ（指名KW）,Japan,ENABLED,JPY,"¥6,000.00",Manual targeting,Dynamic bids - down only,8013,4113,47,28,0.59%,"¥2,819.28","¥2,177.20",¥59.98,¥77.76,6,10.66%,9.38,"¥26,440.00"
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】ORIGAMI (指名KW),Japan,ENABLED,JPY,"¥1,400.00",Manual targeting,Dynamic bids - down only,1426,74,17,0,1.19%,¥124.54,¥0.00,¥7.33,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】グリーンノートヘナ（AT）,Japan,ENABLED,JPY,"¥8,000.00",Automatic targeting,Dynamic bids - down only,20669,8016,20,15,0.10%,¥828.03,¥909.36,¥41.40,¥60.62,1,29.59%,3.38,"¥2,798.00"
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】水素バス（指名KW）,Japan,ENABLED,JPY,"¥6,000.00",Manual targeting,Dynamic bids - down only,5621,164,28,1,0.50%,"¥2,869.76",¥136.50,¥102.49,¥136.50,1,33.58%,2.98,"¥8,545.00"
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】ソネット(競合ASIN),Japan,ENABLED,JPY,"¥2,000.00",Manual targeting,Dynamic bids - down only,4621,,2,,0.04%,¥78.40,,¥39.20,¥0.00,0,0.00%,0,¥0.00
